subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
40, practice, 1, vibration off, 1, 4, 1, 8.jpg, 5.jpg, 0.466504194, 0.511076546, 0.511076546, left, 1, 1, 4, 5.jpg, 8.jpg, 1.1624125998932868, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
40, practice, 1, vibration off, 2, 2, 4, 6.jpg, 8.jpg, 0.631199867, 0.47234587, 0.47234587, left, 1, 4, 2, 8.jpg, 6.jpg, 0.6405205999035388, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
40, practice, 1, vibration off, 3, 3, 1, 7.jpg, 5.jpg, 0.374984468, 0.498939688, 0.498939688, left, 1, 1, 3, 5.jpg, 7.jpg, 0.5623069000430405, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
40, practice, 1, vibration off, 4, 1, 3, 5.jpg, 7.jpg, 0.498193315, 0.371343772, 0.498193315, right, 2, 1, 3, 5.jpg, 7.jpg, 0.5308594999369234, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
40, practice, 1, vibration off, 5, 2, 3, 6.jpg, 7.jpg, 0.620106582, 0.35386843, 0.35386843, left, 1, 3, 2, 7.jpg, 6.jpg, 0.3972189000342041, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
40, test, 1, vibration off, 1, 3, 2, 7.jpg, 6.jpg, 0.413504079, 0.615232533, 0.615232533, left, 1, 2, 3, 6.jpg, 7.jpg, 0.25568530010059476, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
40, test, 1, vibration off, 2, 2, 4, 6.jpg, 8.jpg, 0.631199867, 0.47234587, 0.47234587, left, 1, 4, 2, 8.jpg, 6.jpg, 0.44456680002622306, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
40, test, 1, vibration off, 3, 1, 3, 5.jpg, 7.jpg, 0.498939688, 0.374984468, 0.498939688, right, 2, 1, 3, 5.jpg, 7.jpg, 0.5937149999663234, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,0,
40, test, 1, vibration off, 4, 1, 4, 5.jpg, 8.jpg, 0.498193315, 0.486122834, 0.486122834, left, 1, 4, 1, 8.jpg, 5.jpg, 0.31199519988149405, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
40, test, 1, vibration off, 5, 4, 1, 8.jpg, 5.jpg, 0.463675252, 0.472267853, 0.463675252, right, 2, 4, 1, 8.jpg, 5.jpg, 0.4668868000153452, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
40, test, 1, vibration off, 6, 4, 3, 8.jpg, 7.jpg, 0.444784776, 0.353156918, 0.353156918, left, 1, 3, 4, 7.jpg, 8.jpg, 0.33060289989225566, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,0,
40, test, 1, vibration off, 7, 3, 2, 7.jpg, 6.jpg, 0.351148204, 0.661106815, 0.351148204, right, 2, 3, 2, 7.jpg, 6.jpg, 0.26573580014519393, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,0,
40, test, 1, vibration off, 8, 3, 1, 7.jpg, 5.jpg, 0.385479761, 0.523305174, 0.523305174, left, 1, 1, 3, 5.jpg, 7.jpg, 0.27660649991594255, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,1
40, test, 1, vibration off, 9, 2, 1, 6.jpg, 5.jpg, 0.617130773, 0.538202722, 0.617130773, right, 2, 2, 1, 6.jpg, 5.jpg, 0.5928615001030266, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,0,
40, test, 1, vibration off, 10, 4, 1, 8.jpg, 5.jpg, 0.494179332, 0.538742055, 0.494179332, right, 2, 4, 1, 8.jpg, 5.jpg, 0.16081600007601082, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,1
40, test, 1, vibration off, 11, 2, 1, 6.jpg, 5.jpg, 0.627053837, 0.576408806, 0.627053837, right, 2, 2, 1, 6.jpg, 5.jpg, 0.245737100020051, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,1
40, test, 1, vibration off, 12, 1, 4, 5.jpg, 8.jpg, 0.58170588, 0.429884006, 0.58170588, right, 2, 1, 4, 5.jpg, 8.jpg, 0.4188602000940591, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,1
40, test, 1, vibration off, 13, 2, 3, 6.jpg, 7.jpg, 0.597368238, 0.375355878, 0.597368238, right, 2, 2, 3, 6.jpg, 7.jpg, 0.36778099997900426, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
40, test, 1, vibration off, 14, 3, 2, 7.jpg, 6.jpg, 0.38842331, 0.603047222, 0.38842331, right, 2, 3, 2, 7.jpg, 6.jpg, 0.3578687000554055, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,0,
40, test, 1, vibration off, 15, 4, 3, 8.jpg, 7.jpg, 0.449059956, 0.398928367, 0.449059956, right, 2, 4, 3, 8.jpg, 7.jpg, 0.25631770002655685, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
40, test, 1, vibration off, 16, 4, 2, 8.jpg, 6.jpg, 0.445080478, 0.577589974, 0.445080478, right, 2, 4, 2, 8.jpg, 6.jpg, 0.3036617999896407, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,1
40, test, 1, vibration off, 17, 1, 4, 5.jpg, 8.jpg, 0.513426935, 0.422775713, 0.513426935, right, 2, 1, 4, 5.jpg, 8.jpg, 0.26776310009881854, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
40, test, 1, vibration off, 18, 1, 4, 5.jpg, 8.jpg, 0.505704724, 0.418810463, 0.505704724, right, 2, 1, 4, 5.jpg, 8.jpg, 0.31332330009900033, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,1
40, test, 1, vibration off, 19, 2, 4, 6.jpg, 8.jpg, 0.582335652, 0.404711898, 0.582335652, right, 2, 2, 4, 6.jpg, 8.jpg, 0.34581059985794127, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,1
40, test, 1, vibration off, 20, 3, 2, 7.jpg, 6.jpg, 0.34718102, 0.588279021, 0.34718102, right, 2, 3, 2, 7.jpg, 6.jpg, 0.8634974998421967, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,0,
40, test, 1, vibration off, 21, 3, 1, 7.jpg, 5.jpg, 0.365459609, 0.512951285, 0.512951285, left, 1, 1, 3, 5.jpg, 7.jpg, 0.4672900000587106, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,1
40, test, 1, vibration off, 22, 3, 1, 7.jpg, 5.jpg, 0.364821817, 0.539572991, 0.539572991, left, 1, 1, 3, 5.jpg, 7.jpg, 0.41592980013228953, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
40, test, 1, vibration off, 23, 3, 2, 7.jpg, 6.jpg, 0.373035803, 0.535255398, 0.535255398, left, 1, 2, 3, 6.jpg, 7.jpg, 0.5467575001530349, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,1
40, test, 1, vibration off, 24, 2, 4, 6.jpg, 8.jpg, 0.524393705, 0.358107826, 0.524393705, right, 2, 2, 4, 6.jpg, 8.jpg, 0.7579471999779344, 1, 0.575401102, 0.524393705, 0.364677663, 0.358107826,1
40, test, 1, vibration off, 25, 3, 1, 7.jpg, 5.jpg, 0.39083719, 0.541014126, 0.39083719, right, 2, 3, 1, 7.jpg, 5.jpg, 0.3935001001227647, 1, 0.541014126, 0.532040408, 0.39083719, 0.373729847,0,
40, test, 1, vibration off, 26, 3, 1, 7.jpg, 5.jpg, 0.371897574, 0.536918816, 0.536918816, left, 1, 1, 3, 5.jpg, 7.jpg, 0.3236368000507355, 1, 0.536918816, 0.511692898, 0.371897574, 0.398780507,0,
40, test, 1, vibration off, 27, 3, 2, 7.jpg, 6.jpg, 0.389383809, 0.54671574, 0.54671574, left, 1, 2, 3, 6.jpg, 7.jpg, 0.4402211999986321, 1, 0.541079589, 0.54671574, 0.389383809, 0.405865749,0,
40, test, 1, vibration off, 28, 1, 4, 5.jpg, 8.jpg, 0.559641612, 0.403418308, 0.559641612, right, 2, 1, 4, 5.jpg, 8.jpg, 0.5518254002090544, 1, 0.559641612, 0.570750529, 0.408417182, 0.403418308,1
40, test, 1, vibration off, 29, 1, 2, 5.jpg, 6.jpg, 0.566867971, 0.54476025, 0.566867971, right, 2, 1, 2, 5.jpg, 6.jpg, 0.6557481999043375, 1, 0.566867971, 0.54476025, 0.383885215, 0.398536524,1
40, test, 1, vibration off, 30, 4, 1, 8.jpg, 5.jpg, 0.407780991, 0.562069061, 0.562069061, left, 1, 1, 4, 5.jpg, 8.jpg, 0.5275956001132727, 1, 0.562069061, 0.559260499, 0.406860111, 0.407780991,0,
40, test, 1, vibration off, 31, 3, 1, 7.jpg, 5.jpg, 0.389734908, 0.557017169, 0.557017169, left, 1, 1, 3, 5.jpg, 7.jpg, 0.7645768001675606, 1, 0.557017169, 0.570453061, 0.389734908, 0.40633374,0,
40, test, 1, vibration off, 32, 4, 1, 8.jpg, 5.jpg, 0.430319959, 0.587964414, 0.430319959, right, 2, 4, 1, 8.jpg, 5.jpg, 1.005401600152254, 1, 0.587964414, 0.562455492, 0.364845558, 0.430319959,0,
40, test, 1, vibration off, 33, 2, 4, 6.jpg, 8.jpg, 0.583546956, 0.469700007, 0.469700007, left, 1, 4, 2, 8.jpg, 6.jpg, 0.8194907000288367, 1, 0.569423526, 0.583546956, 0.38651511, 0.469700007,1
40, test, 1, vibration off, 34, 4, 3, 8.jpg, 7.jpg, 0.45608609, 0.411760625, 0.45608609, right, 2, 4, 3, 8.jpg, 7.jpg, 0.5915437999647111, 1, 0.56834307, 0.565200904, 0.411760625, 0.45608609,1
40, test, 1, vibration off, 35, 3, 1, 7.jpg, 5.jpg, 0.404213812, 0.599079702, 0.404213812, right, 2, 3, 1, 7.jpg, 5.jpg, 0.9791560999583453, 1, 0.599079702, 0.567372701, 0.404213812, 0.497188985,1
40, test, 1, vibration off, 36, 4, 1, 8.jpg, 5.jpg, 0.476236411, 0.614921267, 0.476236411, right, 2, 4, 1, 8.jpg, 5.jpg, 0.37382299988530576, 1, 0.614921267, 0.558903517, 0.380656038, 0.476236411,1
40, test, 1, vibration off, 37, 2, 1, 6.jpg, 5.jpg, 0.545721743, 0.628075493, 0.545721743, right, 2, 2, 1, 6.jpg, 5.jpg, 0.29500799998641014, 1, 0.628075493, 0.545721743, 0.352549374, 0.509842719,1
40, test, 1, vibration off, 38, 2, 1, 6.jpg, 5.jpg, 0.538071442, 0.631242143, 0.538071442, right, 2, 2, 1, 6.jpg, 5.jpg, 0.32040530000813305, 1, 0.631242143, 0.538071442, 0.347063514, 0.530542784,1
40, test, 1, vibration off, 39, 2, 1, 6.jpg, 5.jpg, 0.562917382, 0.600609567, 0.562917382, right, 2, 2, 1, 6.jpg, 5.jpg, 0.1595853001344949, 1, 0.600609567, 0.562917382, 0.341152187, 0.525341883,0,
40, test, 1, vibration off, 40, 1, 2, 5.jpg, 6.jpg, 0.598478627, 0.574174471, 0.574174471, left, 1, 2, 1, 6.jpg, 5.jpg, 0.29945769999176264, 1, 0.598478627, 0.574174471, 0.340254534, 0.519319672,1
40, test, 1, vibration off, 41, 1, 2, 5.jpg, 6.jpg, 0.60144404, 0.580661228, 0.60144404, right, 2, 1, 2, 5.jpg, 6.jpg, 0.4113688999786973, 1, 0.60144404, 0.580661228, 0.358175358, 0.531828439,1
40, test, 1, vibration off, 42, 4, 3, 8.jpg, 7.jpg, 0.522351056, 0.366861123, 0.522351056, right, 2, 4, 3, 8.jpg, 7.jpg, 0.46389160002581775, 1, 0.630195312, 0.582970551, 0.366861123, 0.522351056,1
40, test, 1, vibration off, 43, 2, 3, 6.jpg, 7.jpg, 0.572586617, 0.357029746, 0.572586617, right, 2, 2, 3, 6.jpg, 7.jpg, 0.38584570004604757, 1, 0.628568645, 0.572586617, 0.357029746, 0.532129282,1
40, test, 1, vibration off, 44, 4, 2, 8.jpg, 6.jpg, 0.54344664, 0.565568304, 0.54344664, right, 2, 4, 2, 8.jpg, 6.jpg, 0.610647999914363, 1, 0.636994371, 0.565568304, 0.384631609, 0.54344664,0,
40, test, 1, vibration off, 45, 3, 2, 7.jpg, 6.jpg, 0.386636695, 0.5781911, 0.386636695, right, 2, 3, 2, 7.jpg, 6.jpg, 0.39145549992099404, 1, 0.650015763, 0.5781911, 0.386636695, 0.52618086,0,
40, test, 1, vibration off, 46, 2, 3, 6.jpg, 7.jpg, 0.554193525, 0.376640317, 0.554193525, right, 2, 2, 3, 6.jpg, 7.jpg, 0.5655362999532372, 1, 0.626001871, 0.554193525, 0.376640317, 0.575008411,0,
40, test, 1, vibration off, 47, 2, 4, 6.jpg, 8.jpg, 0.585886385, 0.546233567, 0.546233567, left, 1, 4, 2, 8.jpg, 6.jpg, 0.285296400077641, 1, 0.606772055, 0.585886385, 0.329837755, 0.546233567,0,
40, test, 1, vibration off, 48, 4, 3, 8.jpg, 7.jpg, 0.544792119, 0.322472207, 0.544792119, right, 2, 4, 3, 8.jpg, 7.jpg, 0.3949480999726802, 1, 0.609756275, 0.601875425, 0.322472207, 0.544792119,1
40, test, 1, vibration off, 49, 1, 3, 5.jpg, 7.jpg, 0.606158462, 0.298351175, 0.606158462, right, 2, 1, 3, 5.jpg, 7.jpg, 0.28213090007193387, 1, 0.606158462, 0.595767883, 0.298351175, 0.559135463,1
40, test, 1, vibration off, 50, 3, 2, 7.jpg, 6.jpg, 0.304980312, 0.596690297, 0.304980312, right, 2, 3, 2, 7.jpg, 6.jpg, 0.3001441000960767, 1, 0.585330427, 0.596690297, 0.304980312, 0.528689445,1
40, practice, 2, vibration during choice, 1, 2, 4, 10.jpg, 12.jpg, 0.615232533, 0.466504194, 0.615232533, right, 2, 2, 4, 10.jpg, 12.jpg, 0.6391453000251204, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,0,
40, practice, 2, vibration during choice, 2, 2, 3, 10.jpg, 11.jpg, 0.631199867, 0.375335495, 0.631199867, right, 2, 2, 3, 10.jpg, 11.jpg, 0.450520999962464, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,1
40, practice, 2, vibration during choice, 3, 1, 4, 9.jpg, 12.jpg, 0.498939688, 0.491193418, 0.498939688, right, 2, 1, 4, 9.jpg, 12.jpg, 0.2853101999498904, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
40, practice, 2, vibration during choice, 4, 3, 1, 11.jpg, 9.jpg, 0.371343772, 0.498193315, 0.371343772, right, 2, 3, 1, 11.jpg, 9.jpg, 0.3545075999572873, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,0,
40, practice, 2, vibration during choice, 5, 4, 2, 12.jpg, 10.jpg, 0.463675252, 0.620106582, 0.463675252, right, 2, 4, 2, 12.jpg, 10.jpg, 0.22941230004653335, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,1
40, test, 2, vibration during choice, 1, 2, 1, 10.jpg, 9.jpg, 0.615232533, 0.511076546, 0.511076546, left, 1, 1, 2, 9.jpg, 10.jpg, 0.46368729998357594, 1, 0.511076546, 0.615232533, 0.413504079, 0.466504194,1
40, test, 2, vibration during choice, 2, 1, 2, 9.jpg, 10.jpg, 0.517796443, 0.631199867, 0.517796443, right, 2, 1, 2, 9.jpg, 10.jpg, 0.5676233000122011, 1, 0.517796443, 0.631199867, 0.375335495, 0.47234587,0,
40, test, 2, vibration during choice, 3, 3, 2, 11.jpg, 10.jpg, 0.374984468, 0.626315633, 0.626315633, left, 1, 2, 3, 10.jpg, 11.jpg, 0.2980932998470962, 1, 0.498939688, 0.626315633, 0.374984468, 0.491193418,1
40, test, 2, vibration during choice, 4, 1, 2, 9.jpg, 10.jpg, 0.498193315, 0.609226527, 0.609226527, left, 1, 2, 1, 10.jpg, 9.jpg, 0.3955222999211401, 1, 0.498193315, 0.609226527, 0.371343772, 0.486122834,1
40, test, 2, vibration during choice, 5, 1, 3, 9.jpg, 11.jpg, 0.472267853, 0.35386843, 0.35386843, left, 1, 3, 1, 11.jpg, 9.jpg, 0.26770440000109375, 1, 0.472267853, 0.620106582, 0.35386843, 0.463675252,0,
40, test, 2, vibration during choice, 6, 4, 1, 12.jpg, 9.jpg, 0.444784776, 0.48900464, 0.444784776, right, 2, 4, 1, 12.jpg, 9.jpg, 0.33210130012594163, 1, 0.48900464, 0.609411022, 0.353156918, 0.444784776,1
40, test, 2, vibration during choice, 7, 4, 3, 12.jpg, 11.jpg, 0.459669582, 0.351148204, 0.351148204, left, 1, 3, 4, 11.jpg, 12.jpg, 0.38855299982242286, 1, 0.498922937, 0.661106815, 0.351148204, 0.459669582,0,
40, test, 2, vibration during choice, 8, 3, 2, 11.jpg, 10.jpg, 0.385479761, 0.661043011, 0.385479761, right, 2, 3, 2, 11.jpg, 10.jpg, 0.4160837000235915, 1, 0.523305174, 0.661043011, 0.385479761, 0.445975487,0,
40, test, 2, vibration during choice, 9, 4, 3, 12.jpg, 11.jpg, 0.477824508, 0.38403906, 0.38403906, left, 1, 3, 4, 11.jpg, 12.jpg, 0.33640879997983575, 1, 0.538202722, 0.617130773, 0.38403906, 0.477824508,1
40, test, 2, vibration during choice, 10, 4, 3, 12.jpg, 11.jpg, 0.494179332, 0.400369013, 0.494179332, right, 2, 4, 3, 12.jpg, 11.jpg, 0.3034606999717653, 1, 0.538742055, 0.61305354, 0.400369013, 0.494179332,1
40, test, 2, vibration during choice, 11, 2, 4, 10.jpg, 12.jpg, 0.627053837, 0.442060048, 0.442060048, left, 1, 4, 2, 12.jpg, 10.jpg, 2.0200153812766075e-05, 1, 0.576408806, 0.627053837, 0.389573429, 0.442060048,0,
40, test, 2, vibration during choice, 12, 1, 2, 9.jpg, 10.jpg, 0.58170588, 0.6084257, 0.58170588, right, 2, 1, 2, 9.jpg, 10.jpg, 0.04782520001754165, 1, 0.58170588, 0.6084257, 0.368726719, 0.429884006,1
40, test, 2, vibration during choice, 13, 4, 2, 12.jpg, 10.jpg, 0.451621205, 0.597368238, 0.451621205, right, 2, 4, 2, 12.jpg, 10.jpg, 0.6425571998115629, 1, 0.578706679, 0.597368238, 0.375355878, 0.451621205,1
40, test, 2, vibration during choice, 14, 2, 4, 10.jpg, 12.jpg, 0.603047222, 0.453322749, 0.603047222, right, 2, 2, 4, 10.jpg, 12.jpg, 0.41668879985809326, 1, 0.542007718, 0.603047222, 0.38842331, 0.453322749,0,
40, test, 2, vibration during choice, 15, 2, 1, 10.jpg, 9.jpg, 0.59667375, 0.51169699, 0.59667375, right, 2, 2, 1, 10.jpg, 9.jpg, 0.04624580009840429, 1, 0.51169699, 0.59667375, 0.398928367, 0.449059956,0,
40, test, 2, vibration during choice, 16, 3, 2, 11.jpg, 10.jpg, 0.371810296, 0.577589974, 0.371810296, right, 2, 3, 2, 11.jpg, 10.jpg, 0.7013342999853194, 1, 0.513158928, 0.577589974, 0.371810296, 0.445080478,0,
40, test, 2, vibration during choice, 17, 3, 2, 11.jpg, 10.jpg, 0.379887863, 0.585694186, 0.379887863, right, 2, 3, 2, 11.jpg, 10.jpg, 0.30367609998211265, 1, 0.513426935, 0.585694186, 0.379887863, 0.422775713,0,
40, test, 2, vibration during choice, 18, 4, 1, 12.jpg, 9.jpg, 0.418810463, 0.505704724, 0.505704724, left, 1, 1, 4, 9.jpg, 12.jpg, 0.5758580998517573, 1, 0.505704724, 0.54789599, 0.373664559, 0.418810463,0,
40, test, 2, vibration during choice, 19, 2, 3, 10.jpg, 11.jpg, 0.582335652, 0.369915918, 0.582335652, right, 2, 2, 3, 10.jpg, 11.jpg, 0.6542040000203997, 1, 0.504573157, 0.582335652, 0.369915918, 0.404711898,0,
40, test, 2, vibration during choice, 20, 1, 4, 9.jpg, 12.jpg, 0.511492418, 0.429775493, 0.511492418, right, 2, 1, 4, 9.jpg, 12.jpg, 0.3114767000079155, 1, 0.511492418, 0.588279021, 0.34718102, 0.429775493,1
40, test, 2, vibration during choice, 21, 3, 1, 11.jpg, 9.jpg, 0.365459609, 0.512951285, 0.365459609, right, 2, 3, 1, 11.jpg, 9.jpg, 0.191677900031209, 1, 0.512951285, 0.553509108, 0.365459609, 0.420212923,0,
40, test, 2, vibration during choice, 22, 4, 2, 12.jpg, 10.jpg, 0.410726764, 0.552815737, 0.552815737, left, 1, 2, 4, 10.jpg, 12.jpg, 0.39262309996411204, 1, 0.539572991, 0.552815737, 0.364821817, 0.410726764,1
40, test, 2, vibration during choice, 23, 4, 3, 12.jpg, 11.jpg, 0.376882621, 0.373035803, 0.376882621, right, 2, 4, 3, 12.jpg, 11.jpg, 0.318682000041008, 1, 0.56095771, 0.535255398, 0.373035803, 0.376882621,0,
